fold,U,W,batch,method_outcome,batch_index2,batch_index,iteration,realTimeInSeconds,elapsedTimeInSeconds
fold10,23.802631578947366,119.19780071328216,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold1,39.671052631578945,117.32421917216037,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold2,27.320388349514563,96.96106536951018,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold3,27.86138613861386,121.28570557261064,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold4,21.191693290734825,85.83222572836235,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold5,19.835526315789473,113.44128931157462,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold6,17.677524429967427,90.66638128808299,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold7,25.61764705882353,109.51129363449691,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold8,15.81639344262295,105.53464166694718,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold9,17.735294117647058,113.24475580786729,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold10,21.259615384615383,83.75793713473385,batch.ind4,allDMF_postrelapse_num,4,4,19,8.475,0.4275043
fold1,31.02250803858521,96.5923265349241,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold2,29.851485148514847,109.38597596926016,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold3,31.52941176470588,101.44550469058258,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold4,17.793442622950817,108.92309556670145,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold5,9.63258785942492,81.07461080751293,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold6,11.670967741935485,95.65773332450156,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold7,17.970198675496686,123.64436950106747,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold8,37.93708609271523,125.95128982688985,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold9,37.44117647058823,106.62487417965133,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold10,9.694533762057878,88.62967046752544,batch.ind5,allDMF_postrelapse_num,4,5,20,8.475,0.4275043
fold1,30.661016949152543,153.597494170466,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold2,25.368932038834952,98.27539323378721,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold3,13.57234726688103,86.9150451943456,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold4,11.862295081967211,111.8568687514727,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold5,40.980582524271846,100.86130659277127,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold6,13.704545454545455,106.1415504413451,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold7,19.326923076923077,90.22405623124308,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold8,23.34193548387097,98.16074716831159,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold9,29.55882352941176,86.52244635020332,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold10,25.78618421052631,106.27823408624229,batch.ind1,allDMF_postrelapse_num,5,1,21,8.475,0.4264069
fold1,19.203821656050955,81.30537935364052,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold2,9.725806451612904,94.41155196396635,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold3,23.41747572815534,100.70102270688383,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold4,15.81639344262295,107.31547446729726,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold5,38.446308724832214,138.45601752959496,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold6,23.5700325732899,113.25231256981185,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold7,21.963576158940395,107.32099487332906,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold8,27.498371335504885,103.137041917209,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold9,30.923076923076923,91.72152898436266,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold10,23.724590163934426,100.59810818998888,batch.ind2,allDMF_postrelapse_num,5,2,22,8.475,0.4264069
fold1,35.240259740259745,101.77303394757193,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold2,17.677524429967427,90.6072276585356,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold3,27.320388349514563,96.28787304878291,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold4,15.713355048859935,101.31403460661231,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold5,33.1747572815534,105.28514184326468,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold6,9.757281553398059,98.89515759255198,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold7,23.724590163934426,102.43306964688458,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold8,17.851973684210524,114.58716092078244,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold9,19.835526315789473,108.76548146547066,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold10,33.39087947882736,116.59718144058218,batch.ind3,allDMF_postrelapse_num,5,3,23,8.475,0.4264069
fold1,25.28709677419355,91.43456315824336,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold2,28.328859060402685,125.94666703416341,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold3,21.535714285714285,104.01893383823568,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold4,13.88486842105263,119.47476494110018,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold5,19.9009900990099,122.71868583162217,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold6,24.650943396226413,62.74030452132811,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold7,23.96026490066225,124.71036349048777,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold8,29.462540716612377,106.45502277454868,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold9,19.389067524115756,79.98222597833049,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold10,27.40909090909091,102.1375236672978,batch.ind4,allDMF_postrelapse_num,5,4,24,8.475,0.4264069
fold1,25.368932038834952,91.63429756185084,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold2,17.620129870129873,97.62964345715885,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold3,21.819078947368418,108.11923160056197,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold4,45.17589576547231,107.29930639627045,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold5,16.026578073089702,127.51057051443851,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold6,17.735294117647058,109.87816563997262,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
fold7,19.514563106796118,99.2638105300931,batch.ind5,allDMF_postrelapse_num,5,5,25,8.475,0.4264069
